file,sub,enum_correct,enum_attempted,soniox_correct,soniox_attempted,engine,machine_correct,machine_attempted,item_agree,n_items,status,enum_correct_29s,soniox_correct_29s
AA_bf833efb-b7bf-4a0,orf_eng,30.0,34.0,2,59,speechace-29s,1,9,0.5555555555555556,9,200,55,2
AA_bf842fbd-d0b6-48f,idwrd_eng,11.0,15.0,5,49,speechace-29s,9,49,0.2857142857142857,49,200,38,5
AA_bf842fbd-d0b6-48f,orf_eng,0.0,5.0,3,59,speechace-29s,11,59,0.2711864406779661,59,200,54,3
AA_c073035b-93b5-46e,idwrd_eng,19.0,38.0,1,49,speechace-29s,4,20,0.5,20,200,22,1
AA_c82929c2-05b6-468,idwrd_eng,2.0,20.0,0,49,speechace-29s,4,44,0.36363636363636365,44,200,31,0
AA_c82929c2-05b6-468,orf_eng,0.0,5.0,4,59,speechace-29s,8,15,0.4666666666666667,15,200,54,4
AA_cae1bdae-bf19-4d7,idwrd_eng,1.0,5.0,5,49,speechace-29s,0,49,0.08163265306122448,49,200,45,5
AA_cc3e50b9-d8fd-494,idwrd_eng,18.0,22.0,6,49,speechace-29s,8,49,0.24489795918367346,49,200,39,6
AA_ceea038f-3411-4c4,idwrd_eng,49.0,49.0,27,49,speechace-29s,13,33,0.3939393939393939,33,200,43,22
AA_ceea038f-3411-4c4,orf_eng,55.0,60.0,43,59,speechace-29s,16,46,0.391304347826087,46,200,42,40
AA_d297262c-ee74-4c9,idwrd_eng,0.0,5.0,5,49,speechace-29s,1,14,0.2857142857142857,14,200,44,5
AA_d2b6e70c-b3fd-4bd,idwrd_eng,0.0,5.0,2,49,speechace-29s,3,16,0.25,16,200,44,2
AA_d2b6e70c-b3fd-4bd,orf_eng,0.0,5.0,1,59,speechace-29s,1,5,0.8,5,200,54,0
AA_d499cff8-38a9-4eb,idwrd_eng,49.0,50.0,43,49,speechace-29s,28,49,0.5714285714285714,49,200,49,43
AA_d499cff8-38a9-4eb,orf_eng,60.0,60.0,58,59,speechace-29s,31,59,0.5254237288135594,59,200,59,58
AA_d53dbe59-66a4-415,idwrd_eng,1.0,5.0,0,49,speechace-29s,9,49,0.2653061224489796,49,200,45,0
AA_d53dbe59-66a4-415,orf_eng,0.0,5.0,5,59,speechace-29s,3,16,0.5,16,200,54,5
AA_d897830f-bbaa-44d,idwrd_eng,45.0,49.0,0,49,speechace-29s,3,49,0.14285714285714285,49,200,45,0
AA_d897830f-bbaa-44d,orf_eng,55.0,60.0,6,59,speechace-29s,1,16,0.1875,16,200,54,5
AA_d99c7b13-c3a8-489,idwrd_eng,39.0,40.0,1,49,speechace-29s,8,49,0.22448979591836735,49,200,46,0
